threshold,nb_raw,nb_recal,nb_all
0.05,0.7365,0.7331,0.7364
0.1,0.7213,0.7186,0.7218
0.15,0.7029,0.7035,0.7054
0.2,0.6844,0.6892,0.687
0.25,0.6629,0.6752,0.6662
0.3,0.6408,0.661,0.6423
0.35,0.6153,0.6456,0.6148
0.4,0.5865,0.6286,0.5827
0.45,0.5518,0.6095,0.5448
0.5,0.5102,0.5857,0.4993
0.55,0.4637,0.5577,0.4436
0.6,0.4088,0.5242,0.3741
0.65,0.3475,0.4838,0.2846
0.7,0.2629,0.4392,0.1654
0.75,0.16,0.3811,-0.0015
0.8,0.015,0.2978,-0.2519
0.85,-0.1346,0.1847,-0.6692
0.9,-0.193,0.056,-1.5037
0.95,-0.1849,-0.1131,-4.0075
